INSTNM,CITY,STABBR,ZIP,INSTURL,CURROPER,CCBASIC,CCUGPROF,CCSIZSET,YEARS,HCM2,main,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,LATITUDE,LONGITUDE,ADM_RATE,first_gen,DISTANCEONLY,UGDS,UG,NPT4_ALL,NPT4_LOW,NPT4_MID,NPT4_HIGH,NPT4_PUB,NPT4_PRIV,NPT4_048_PUB,NPT4_048_PRIV,NPT4_3075_PUB,NPT4_3075_PRIV,NPT4_75UP_PUB,NPT4_75UP_PRIV,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,C150_4_POOLED,C150_L4_POOLED,RPY_3YR_RT,LO_INC_RPY_3YR_RT,MD_INC_RPY_3YR_RT,HI_INC_RPY_3YR_RT,DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,GRAD_DEBT_MDN10YR,CUML_DEBT_P90,CUML_DEBT_P75,CUML_DEBT_P25,CUML_DEBT_P10,gt_25k_p6,mn_earn_wne_p6,md_earn_wne_p6,pct10_earn_wne_p6,pct25_earn_wne_p6,pct75_earn_wne_p6,pct90_earn_wne_p6,mn_earn_wne_inc1_p6,mn_earn_wne_inc2_p6,mn_earn_wne_inc3_p6,gt_25k_p10,count_nwne_p10,count_wne_p10,mn_earn_wne_p10,md_earn_wne_p10,pct10_earn_wne_p10,pct25_earn_wne_p10,pct75_earn_wne_p10,pct90_earn_wne_p10,mn_earn_wne_inc1_p10,mn_earn_wne_inc2_p10,mn_earn_wne_inc3_p10
George C Wallace State Community College-Selma,Selma,AL,36703-2808,www.wccs.edu,1,2,3,2,2,0,1,1,2,2,1,32.4456,-87.0132,NULL,0.600000024,0,1604,1445,8712,NULL,NULL,NULL,8712,NULL,8648,NULL,8873,NULL,NULL,NULL,3900,7230,NULL,NULL,0.244038312,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3475,3475,1000,1000,0.363136172,23000,19600,4300,10900,31300,46000,NULL,NULL,NULL,0.485791624,205,739,29300,24400,6100,14000,39400,57100,NULL,NULL,NULL
Herzing University-Birmingham,Birmingham,AL,35209,www.herzing.edu/birmingham,1,22,5,6,4,0,0,11,1,3,3,33.4681,-86.8323,0.7234,0.460000008,0,318,534,22518,22351,22559,25064,NULL,22518,NULL,22351,NULL,22559,NULL,25064,11150,11150,NULL,0.323541176,NULL,0.474266474,0.41131815,0.584848485,NULL,12000,10147,16362,15510,253.3709851,35472,23461,4830,2560,0.596551716,31900,29300,7200,16800,42200,58300,25300,34900,40100,0.763157904,49,418,44100,42300,12300,26100,58400,77200,40100,44300,47900
Huntingdon College,Montgomery,AL,36106-2148,www.huntingdon.edu,1,22,11,7,4,0,1,1,3,3,2,32.3509,-86.2853,0.6279,0.400000006,0,1100,657,17864,16518,17438,19240,NULL,17864,NULL,16518,NULL,17438,NULL,19240,23500,23500,NULL,0.447984076,NULL,0.781431335,0.741758242,0.784615385,0.828571429,16850,15000,18880,NULL,299.75535,38500,28480,6451,3750,0.616858244,32000,29700,12200,19800,39600,54500,24300,32800,35100,0.695067286,22,223,40300,37100,9100,22000,47100,73200,38300,39400,42600
J F Drake State Community and Technical College,Huntsville,AL,35811,www.drakestate.edu,1,1,2,2,2,0,1,1,1,2,1,34.7721,-86.5738,NULL,0.620000005,0,1040,543,7163,NULL,NULL,NULL,7163,NULL,7173,NULL,7347,NULL,NULL,NULL,3336,6000,NULL,NULL,0.137649032,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1862,1862,356,356,0.364864856,21800,18400,4900,10300,31700,42100,NULL,NULL,NULL,0.474999994,97,320,27300,23500,7000,13600,36000,49500,NULL,NULL,NULL
Jacksonville State University,Jacksonville,AL,36265,www.jsu.edu/,1,18,6,12,4,0,1,1,3,4,1,33.8221,-85.7666,0.8326,0.430000007,0,7195,6491,16078,NULL,NULL,NULL,16078,NULL,14523,NULL,16858,NULL,19189,NULL,7092,13884,NULL,0.297699661,NULL,0.627607888,0.548143852,0.675468484,0.765765766,16500,16151,17250,15000,260.898175,42875,29250,8250,4750,0.546616971,29800,27000,7000,16000,39800,53800,27100,31200,32400,0.679775298,359,2314,36600,35100,9000,20700,47500,64200,34000,38000,39000
Jefferson Davis Community College,Brewton,AL,36426,www.jdcc.edu,1,1,2,2,2,0,1,1,2,2,1,31.102,-87.0858,NULL,0.610000014,0,1037,1129,3796,NULL,NULL,NULL,3796,NULL,3736,NULL,4244,NULL,3599,NULL,3908,7238,NULL,NULL,0.282789097,NULL,NULL,NULL,NULL,2000,NULL,NULL,NULL,NULL,2000,2000,2000,2000,0.417302787,25500,21900,4900,12400,35000,50900,NULL,NULL,NULL,0.561165035,120,515,30900,27200,6500,15200,42700,58600,NULL,NULL,NULL
Jefferson State Community College,Birmingham,AL,35215-3098,www.jeffstateonline.com,1,7,1,4,2,0,1,1,2,2,1,33.6524,-86.7074,NULL,0.50999999,0,7494,5652,8799,NULL,NULL,NULL,8799,NULL,8030,NULL,9690,NULL,12676,NULL,4260,7590,NULL,NULL,0.087277462,0.622807018,0.536764706,0.668325041,NULL,5057,4500,5500,5500,111.0205,13916,9250,2250,1750,0.493239284,27200,24700,5100,13400,37500,49400,25000,30600,30100,0.60366714,356,1418,33400,30300,8000,18200,44600,61200,30400,36200,40200
John C Calhoun State Community College,Tanner,AL,35671,www.calhoun.edu,1,3,2,4,2,0,1,1,2,2,1,34.6543,-86.9491,NULL,0.560000002,0,9970,7719,5278,NULL,NULL,NULL,5278,NULL,4235,NULL,6413,NULL,9517,NULL,4140,7410,NULL,NULL,0.127015979,0.543043812,0.456890199,0.618311534,0.693333333,5500,5500,6250,5500,110.354377,16000,10071,3250,1945,0.464605749,26400,23500,4800,12100,36200,51600,23300,29800,32600,0.539932013,556,2354,31700,27200,6000,14000,43600,62800,28600,36600,37400
Judson College,Marion,AL,36756,www.judson.edu,1,21,8,7,4,0,1,1,3,3,2,32.6305,-87.3161,0.7388,0.439999998,0,331,321,17243,15779,18371,19504,NULL,17243,NULL,15779,NULL,18371,NULL,19504,15630,15630,NULL,0.390415068,NULL,0.718120805,0.620689655,NULL,NULL,14250,13708,14900,NULL,288.6533,33410,23500,5985,4670,0.373831779,20700,20200,3100,9900,29000,38500,NULL,NULL,NULL,0.661654115,33,133,33800,30700,9300,19200,42800,57100,NULL,NULL,NULL
Lawson State Community College-Birmingham Campus,Birmingham,AL,35221-1717,www.lawsonstate.edu,1,7,2,3,2,0,1,1,1,2,1,33.4517,-86.8902,NULL,0.449999988,0,2894,1673,7406,NULL,NULL,NULL,7406,NULL,7376,NULL,7754,NULL,NULL,NULL,4230,7590,NULL,NULL,0.178993385,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5000,5000,833,833,0.363099635,22200,19500,4600,11400,29700,42600,NULL,NULL,NULL,0.441414148,259,990,26700,22300,6100,13400,36500,51500,NULL,NULL,NULL
